name,id,homepage,description,license,platforms,export_cs_fmi1,export_cs_fmi2,export_me_fmi1,export_me_fmi2,import_cs_fmi1,import_cs_fmi2,import_me_fmi1,import_me_fmi2
AUTOSAR Builder,ASim,https://www.3ds.com/products-services/catia/products/autosarbuilder/,AUTOSAR product from Dassault Systèmes,commercial,win32 win64,available,available,available,,,,,
AVL CRUISE,AVL_CRUISE,https://www.avl.com/cruise,"Vehicle system analysis tool for the optimization of fuel efficiency, emission, performance and driveability, from office to HiL to testbed.",commercial,win32 win64,available,,planned,,available,,available,
AVL CRUISE M,AVL_CRUISE_M,https://www.avl.com/cruise-m,"AVL CRUISE™ M is a realtime, multi-disciplinary, vehicle system simulation software used in office environments for the design of powertrains and thermal management systems, in HiL environments for control function development and calibration, and in testbed environments to provide simulation models for component testing",commercial,win32 win64,,available,,,available,available,available,available
AVL Model.CONNECT,AVL_Model.CONNECT,https://www.avl.com/model.connect,"AVL’s open model integration and co-simulation platform, connecting virtual and real components into one functional prototype",commercial,win32 win64 linux64,,,,,available,available,available,available
Axisuite,Axisuite,http://www.exothermia.com/exhaust-overview,Simulation of exhaust aftertreatment systems from Exothermia,commercial,win64,available,available,,,,,,
B&R Automation Studio,AutomationStudio,https://www.br-automation.com/en/,"B&Rs Automation Studio is a software engineering platform for industrial automation targetting PLCs, industrial PCs, HMI and embedded controllers from B&R",commercial,c-code,,planned,,,,available,,
BEAST,BEAST,https://www.skf.com,BEAST is an advanced dynamic simulation tool for rolling bearings and other mechanical systems with contacts available through SKF Engineering Consultancy Services. BEAST analyzes what will happen under real conditions and predicts the behaviour of complex equipment that incorporates rolling bearings.,commercial,win64,,,,,,available,,available
Building Controls Virtual Test Bed,BCVTB,https://simulationresearch.lbl.gov/bcvtb/,"BCVTB is a Software environment, based on Ptolemy II, for co-simulation of, and data exchange with, building energy and control systems",commercial,win64,,,,,available,,,
Cameo Simulation Toolkit (MagicDraw plugin),Cameo,https://www.nomagic.com/products/cameo-systems-modeler,"FMUs can be imported, represented, connected and co-simulated in SysML models",commercial,win64,,,,,available,,available,
CANoe,CANoe,https://www.vector.com/int/en/products/products-a-z/software/canoe/,"CANoe is the comprehensive software tool for development, test and analysis of entire ECU networks and individual ECUs",commercial,win64,planned,planned,available,available,available,available,,
CarMaker,CarMaker,https://www.ipg.de/index.php?id=carmaker,"CarMaker is an open test- and integration-platform for MiL, SiL and HiL",commercial,linux32 linux64 win32 win64,,,,,available,available,,
CarSim,MechanicalSimulation,https://www.carsim.com/,"CarSim, TruckSim, and BikeSim are vehicle dynamics software solutions from Mechanical Simulation that support XiL development workflows and power real-time driving simulators around the globe",commercial,win64,available,available,,,planned,planned,,
CATIA,CATIA,https://www.3ds.com/products-services/catia/,"Environment for Product Design and Innovation, including systems engineering tools based on Modelica, by Dassault Syst&egrave;mes",commercial,c-code win32 win64,available,available,available,available,available,available,available,available
ControlBuild,ControlBuild,https://www.3ds.com/products-services/catia/products/controlbuild/,Environment for IEC 61131-3 control applications from Dassault Systèmes,commercial,linux32 linux64 win32 win64,available,available,available,planned,available,available,available,available
CosiMate,CosiMate,https://www.cosimate.com/,Co-simulation Environment from ChiasTek,commercial,win32 win64,,,,,available,available,available,
CoTherm,CoTherm,https://www.thermoanalytics.com/cotherm,"Co-simulation software for coupling thermal, CFD, FEA, and 1D tools",commercial,linux64 win64,,planned,,,available,available,,
CPPFMU,CPPFMU,https://github.com/viproma/cppfmu,Interfaces and helper functions for writing FMI-compliant model/slave code in C++,commercial,win64,available,planned,planned,planned,,,,
Cybernetica CENIT,Cybernetica_CENIT,https://cenit.cybernetica.no,Industrial product for nonlinear Model Predictive Control (NMPC) from Cybernetica,commercial,win64,,,,,planned,,available,
Cybernetica ModelFit,Cybernetica_ModelFit,https://modelfit.cybernetica.no,"Software for model verification, state and parameter estimation, using logged process data. By Cybernetica",commercial,win64,,,,,available,,available,
DACCOSIM,DACCOSIM,https://bitbucket.org/simulage/daccosim,"Master Algorithm generator & deployer from RISEGrid for a multi-OS, multi-threaded and distributed cosimulation implementing all the FMI 2.0 features",osi,linux64 win32 win64,,available,,,,available,,
DAE Tools,daetools,https://www.daetools.com,,commercial,win64,,available,,planned,,planned,,
DAFUL,DAFUL,https://www.virtualmotion.co.kr/en/index.do,Intergrated structure and motion analysis software from VirtualMotion,commercial,win64,available,planned,,,,,,
DS - FMU Export from Simulink,DS_FMU_Export_from_Simulink,https://www.dymola.com/FMI,FMI Kit for Simulink  provided by Dassault Syst&egrave;mes - Simulink Coder Target for export of FMUs from Simulink,commercial,win32 win64,available,available,available,available,,,,
DS - FMU Import into Simulink,DS_FMU_Import_into_Simulink,https://www.dymola.com/FMI,FMI Kit for Simulink  provided by Dassault Syst&egrave;mes - Simulink block for import of FMUs into Simulink,commercial,win32 win64,,,,,available,available,available,available
dSPACE MicroAutoBox III,dSPACE_DS1403,https://www.dspace.com/go/fmi,"dSPACE MicroAutoBox III is a real-time simulation system for performing fast, in-vehicle function prototyping. Please also refer to the dSPACE FMI sites for more information about the FMI 1.0 and FMI 2.0 support.",commercial,c-code,,,,,available,available,,
dSPACE SCALEXIO,dSPACE_SCALEXIO,https://www.dspace.com/go/fmi,dSPACE SCALEXIO is a Hardware-in-the-Loop (HIL) integration and simulation platform from dSPACE. Please also refer to the dSPACE FMI sites for more information about the FMI 1.0 and FMI 2.0 support.,commercial,c-code,,,,,available,available,,
dSPACE SYNECT,dSPACE_SYNECT,https://www.dspace.com/go/fmi,"dSPACE SYNECT is a data management tool from dSPACE that enables you to manage FMUs and Simulink models as well as their dependencies, versions and variants throughout the entire software development process. Please also refer to the dSPACE FMI sites for more information about the FMI support.",commercial,c-code linux32 linux64 win32 win64,,,,,planned,available,,
dSPACE TargetLink,dSPACE_TargetLink,https://www.dspace.com/go/fmi,TargetLink is a production code generator from dSPACE that generates highly efficient C-code directly from Simulink/Stateflow models. Please also refer to the dSPACE FMI sites for more information about the FMI support.,commercial,c-code win32 win64,,available,,,,,,
dSPACE VEOS,dSPACE_VEOS,https://www.dspace.com/go/fmi,dSPACE VEOS is a PC-based virtual integration and simulation platform from dSPACE. Please also refer to the dSPACE FMI sites for more information about the FMI 1.0 and FMI 2.0 support.,commercial,c-code win32 win64,,,,,available,available,,
Dymola,Dymola,https://www.3ds.com/products-services/catia/capabilities/modelica-systems-simulation-info/dymola,Modelica environment from Dassault Systèmes,commercial,c-code win32 win64,available,available,available,available,available,available,available,available
DYNA4,DYNA4,https://www.vector.com/dyna4/,DYNA4 by Vector is an open simulation environment for virtual test driving for function development in closed-loop system tests,commercial,win64,,available,,,available,available,available,available
EAS-CoSiMa,EAS_CoSiMa,https://www.eas.iis.fraunhofer.de/de/anwendungsfelder/mobilitaet/modelisar/cosima.html,"EAS-CoSiMa by Fraunhofer IIS EAS is a vendor neutral interface for Co-Simulation of FMUs. It provides a range of Masteralgorithms for cycle handling, time step control algorithms and a graphical user interface.",commercial,win32 win64,,,,,available,available,,
Easy FMI Add-on for Matlab/Simulink,Easy_FMI_Add_on,https://powersys-solutions.com/product/?software=Easy%20FMI%20Add-On%20for%20MATLAB%2fSimulink,FMI Module for Simulink to enable cosimulation as master or slave,commercial,win32 win64,,available,,,,available,,
Easy5,Easy5,https://www.mscsoftware.com/product/easy5,High performance simulation environment for multi-domain system dynamics from MSC Software,commercial,win64,available,available,,available,available,available,available,available
EcosimPro,EcosimPro,https://www.ecosimpro.com/products/ecosimpro/,"EcosimPro, System Modelling and Simulation Software",commercial,win32 win64,,available,,planned,,available,,planned
ECU-TEST,ECU-TEST,https://www.tracetronic.com/products/ecu-test/,"ECU-TEST is an intuitive test tool for creating test cases for automotive software in any development phase and for their automatic execution, supporting a variety of test execution or test process tools",commercial,win64,,,,,available,available,available,available
EMTP-RV,empt,https://www.emtp-software.com,EMTP-RV is a power system simulation tool. Version 3.4 or higher is required to use the FMI capabilities.,commercial,win64,,available,,,available,available,,planned
EnergyPlus,EnergyPlus,https://simulationresearch.lbl.gov/fmu/EnergyPlus/export/index.html,Whole building energy simulation program,commercial,win64,available,,,,available,,,
ETAS ASCET 6,ETAS_ASCET_6,,,commercial,win32 win64 linux64,available,,,,,,,
ETAS ASCET-DEVELOPER,ETAS_ASCET-DEVELOPER,https://www.etas.com/de/portfolio/ascet-developer.php,"FMU Generator for ASCET from ETAS",commercial,c-code win32,,available,,,,,,
ETAS ASCMO,ETAS_ASCMO,https://www.etas.com/en/products/ascmo.php,"Creation and export of statistical (meta) models using Design of Experiments (DoE) from ETAS",commercial,c-code win32 win64,available,available,,,,,,
ETAS COSYM,ETAS_COSYM,https://www.etas.com/en/products/cosym-co-simulation-platform.php,"Integration and simulation platform for Hardware-in-the-Loop (HiL) and Software-in-the-Loop (SiL)",commercial,c-code win32 win64 linux64,,,,,,available,,
ETAS INCA-FLOW (MiL/SiL Connector),ETAS_INCA_FLOW,https://www.etas.com/en/products/inca_flow.php,"Guided and automated calibration of FMUs with connection to ETAS INCA",commercial,win64,,,,,available,,planned,
ETAS ISOLAR-EVE (ETAS Virtual ECU),ETAS_ISOLAR_EVE,https://www.etas.com/en/products/isolar_eve.php,"PC based platform from ETAS for ECU software validation at the component, sub-system or system level; allows for validation of Application Software, Basis Software and complete ECU software in a virtual environment",commercial,win32 linux32,available,available,,,,,,
ETAS LABCAR-OPERATOR,ETAS_LABCAR_OPERATOR,https://www.etas.com/en/products/labcar_operator.php,"Frontend for ETAS HiL systems LABCAR, operating on the creation of experiments and their subsequent execution",commercial,linux32,,,,,available,,,
ETAS SCODE-CONGRA,ETAS_SCODE_CONGRA,https://www.etas.com/de/products/scode-congra.php,"provides an easy and fast modelling of (non-linear) DAEs for controllers and plant models, verification of the model for safety critical development and generates embedded ECU code",commercial,c-code win64,,available,,available,,,,
Flownex,Flownex,https://flownex.com/,"Flownex is a tool for steady state and dynamic simulation of fluid flow and heat transfer systems",commercial,win32 win64,,available,,,,,,
FLUIDON DSHplus,DSHplus,https://www.fluidon.com,Fluid power simulation software from FLUIDON,commercial,linux64 win32 win64,available,available,available,planned,,available,,
FLUIDON Virtual Engineering Lab,FLUIDON_VEL,https://www.fluidon.com,Software for automated simulation and virtual engineering using in-the-loop methods,commercial,darwin64 linux64 win64,,,,,,available,,
FMI Add-in for Excel,FMI_Addin_for_Excel,https://www.modelon.com/products/fmi-add-in-for-excel/,FMI Add-in for Microsoft Excel by ​Modelon. Offers support for batch simulation of FMUs.,commercial,win32 win64,,,,,available,,,
FMI add-on for NI VeriStand,FMI_addon_for_NI_VeriStand,https://www.dofware.com/img/FMI_Flyer.pdf,NI VeriStand supports FMI through the use of the FMI add-on for NI VeriStand from Dofware,commercial,win32 win64,,,,,available,,available,
FMI Bench,FMIBench,https://pmsf.eu/products/fmibench/,"Workbench for inspection, customization and pre-integration of FMUs including parallelization and stand-alone simulation generation from PMSF",commercial,linux64 win32 win64,available,available,available,available,available,available,available,available
FMI Blockset for Simulink,FMI_Blockset_for_Simulink,https://www.claytex.com/products/fmi-blockset/,The FMI Blockset for Simulink enables the import of FMUs for use in Simulink - developed by Claytex,commercial,win32 win64,,,,,available,available,,available
FMI Composer,FMI_Composer,https://www.modelon.com/products-services/modelon-deployment-suite/fmi-composer/,FMI Composer from Modelon is a software platform enabling users to build system models from multiple FMUs. FMI Composer is built entirely on the FMI and upcoming SSP standards.,commercial,win64,,available,,available,planned,available,planned,available
FMI Library,FMILibrary,https://github.com/modelon-community/fmi-library,Open source (BSD) C library for integration of FMI technology in custom applications by Modelon,osi,win32 win64,planned,planned,planned,planned,available,available,available,available
FMI Target for Simulink Coder,FMITarget_for_Simulink_Coder,https://cdn.simulationx.de/en/pdf/FMI-Target-for-Simulink-Coder.pdf,Export of stand-alone FMUs for Co-Simulation from Simulink using Simulink Coder - provided by ITI,commercial,win64,available,,,,,,,
FMI Toolbox for MATLAB/Simulink,FMIToolbox_MATLAB,https://www.modelon.com/products-services/modelon-deployment-suite/fmi-toolbox/,The FMI Toolbox for MATLAB/Simulink from Modelon enables FMU import and export for MATLAB/Simulink for both model exchange and co-simulation,commercial,win32 win64,available,available,available,available,available,available,available,available
FMI.jl,FMI_jl,https://github.com/ThummeTo/FMI.jl,"Load, parameterize, simulate and plot CS- and ME-FMUs (support for event-handling) in the Julia Programming Language",osi,win64 linux64,,,,,planned,available,planned,available
FMI4cpp,FMI4cpp,https://github.com/NTNU-IHB/fmi4cpp,FMI 2.0 implementation written in modern C++,osi,linux32 linux64 win32 win64,,planned,,,,available,,available
FMI4j,FMI4j,https://github.com/NTNU-IHB/fmi4j,FMI4j is a software package for dealing with Functional Mockup Units (FMUs) on the JVM platform,osi,linux32 linux64 win32 win64,,available,,,available,available,,available
FMPy,FMPy,https://github.com/CATIA-Systems/FMPy,A Python library to simulate FMUs,osi,darwin64 linux64 win32 win64,,,,,available,available,available,available
FMU-proxy,FMU_Proxy,https://github.com/NTNU-IHB/FMU-proxy,"Tool that allows Functional Mock-up Units (FMUs) to be accessed through language independent RPC calls on any platform using gRPC, Apache Thrift and/or JSON-RPC",osi,linux32 linux64 win32 win64,,,,,available,available,,
FMUSDK,FMUSDK,https://www.synopsys.com/verification/virtual-prototyping/virtual-ecu/fmu-sdk.html,FMU Software Development Kit from Synopsys,osi,win32 win64,available,available,available,available,available,,available,
General Energy Systems (GES),GES,https://www.tno.nl,"GES is an object oriented simulation tool, for dynamic and static (algebraic) systems, Based on a hybrid bondgraph model. The tool is mainly used for ship power designs. Provided by TNO",commercial,win64,planned,planned,available,planned,planned,planned,available,planned
GT-SUITE,GT_SUITE,https://www.gtisoft.com/,Multi-Physics Simulation Platform for Powertrain and Vehicle Systems,commercial,win32 win64,available,available,,,available,available,available,available
HIFSuite,EDALab_HIFSuite,https://www.hifsuite.com/,"A set of command-line tools that allow to automatically perform sophisticated manipulations on IP Cores written with traditional HDL languages: VHDL, Verilog and Verilog A. It allows to create wrappers for Virtual Platform integration for FMI/FMU.",commercial,linux64 win64,,available,,,,,,
Hopsan,Hopsan,https://github.com/Hopsan/hopsan,Hopsan is a free simulation tool developed at Linköping University. It is using distributed solver techniques with good support for parallelism using multi-core processors.,osi,linux32 linux64 win32 win64,available,available,,,available,available,,
IBM Rational Rhapsody,IBM_Rational_Rhapsody,https://www.ibm.com/us-en/marketplace/systems-design-rhapsody,"IBM&reg; Rational&reg; Rhapsody&reg; family provides a collaborative design, development and test environment for systems engineers and software engineers.",commercial,win64,planned,,available,,planned,,planned,
ICOS Independent Co-Simulation,ICOS,https://www.v2c2.at/icos/,ICOS is a co-simulation tool developed by Virtual Vehicle,commercial,win64,available,,,,available,,available,
IGNITE,IGNITE,https://www.ricardo.com/en-GB/What-we-do/Software/Products/IGNITE/,Physics-based system simulation software for complete vehicle system modeling and simulation from Ricardo Software,commercial,win64,planned,planned,,,available,planned,,
InSystemLab,ISL,https://insystemlab.com,A collaborative co-simulation platform that promotes interoperability across multiple engineering domains,commercial,linux32 linux64 win32 win64,,,,,,available,,
INTO-CPS Co-simulation Orchestration Engine (COE),COE,https://into-cps.org/,An open-source and free standalone FMI co-simulation master implemented in Java with a JSON API. It is developed as part of the INTO-CPS project.,osi,darwin64 linux32 linux64 win32 win64,,,,,available,,,
ISG-virtuos,ISGvirtuos,https://www.isg-stuttgart.de/de/isg-virtuos,"Technology-specific simulation solutions are integrated into the digital twin which enables a comprehensive virtual commissioning of industrial control systems. Result: Illustration of interactions between process machine control system and user in a single integrated virtualization.",commercial,win64,,,,,available,available,,
JavaFMI,JavaFMI,https://bitbucket.org/siani/javafmi/wiki/Home,JavaFMI is a Java wrapper for the Functional Mock-up Interface (1.0 or 2.0) both for Windows/Linux 32 or 64 bit OS,commercial,win64,,,,,available,available,,
JFMI,JFMI,https://ptolemy.berkeley.edu/java/jfmi/,"A Java Wrapper for the Functional Mock-up Interface, based on FMU SDK",commercial,win64,available,,,,available,,,
JModelica.org,JModelica.org,https://www.jmodelica.org,Open source Modelica environment from Modelon,osi,linux64 win32 win64,available,available,available,available,available,available,available,
KULI,KULI,https://kuli.magna.com,KULI is a comprehensive tool for vehicle thermal management simulation,commercial,win32 win64,,available,,,,,,
LMS Virtual.Lab Motion,LMS_Virtual.Lab_Motion,https://www.plm.automation.siemens.com/de/products/,Virtual.Lab Motion is a high end multi body software from LMS International,commercial,win64,available,,,,available,,available,
LS-DYNA,LS-DYNA,http://www.lstc.com/,"LS-DYNA is a general-purpose finite element program that is used in the automotive, aerospace, construction and manufacturing industries",commercial,darwin64 linux64 win64,,available,,planned,,available,,planned
MapleSim,MapleSim,https://www.maplesoft.com/products/maplesim/modelica.aspx,Modelica-based modeling and simulation tool from Maplesoft,commercial,c-code darwin64 linux32 linux64 win32 win64,available,available,available,available,,planned,,available
MasterSim,MasterSim,http://bauklimatik-dresden.de/mastersim,OpenSource FMI Co-Simulation master and programming library,osi,darwin64 linux64 win32 win64,,,,,available,available,,
MATLAB® Simulink®,MATLAB® Simulink®,https://www.mathworks.com/solutions/system-design-simulation.html,"Simulink® is a block diagram environment for multidomain simulation and Model-Based Design. It supports system-level design, simulation, automatic code generation, and continuous test and verification of embedded systems.",commercial,darwin64 linux64 win32 win64,,available,,,available,available,available,available
MESSINA,MESSINA,https://www.assystem-germany.com/en/products/messina/,MESSINA is a test platform for model-based ECU function development.,commercial,win64,,,,,available,,available,
MoBA Lab,MoBA_Lab,https://www.moba-lab.de/fmiCrosscheck,"MoBA Lab gives the user a wide-ranging portfolio of different tools for the model-based development process of thermal and other types of systems. The MoBA Simulator is available for Excel, Python, C++, and various other environments.",commercial,win32 win64,planned,planned,planned,planned,available,available,available,available
modeFRONTIER,mF_ESTECO,https://www.esteco.com/modefrontier,modeFRONTIER is a comprehensive solution for process automation and optimization in the engineering design process,commercial,c-code win32 win64,available,planned,,,,,,
Morphee,Morphee,https://www.fev.com/what-we-do/testing-solutions/products/software/morphee.html,"MORPHEE is a system for automation, simulation and calibration from FEV",commercial,win64,,,,,planned,planned,planned,planned
MpCCI CouplingEnvironment,mpcci,https://www.mpcci.de,The MpCCI CouplingEnvironment from Fraunhofer SCAI is a vendor neutral interface for co-simulation in the 3D area; FMU subsystems can be linked through an integrated Master-FMU from Fraunhofer EAS.,commercial,win64,,,,,planned,planned,,
MWorks,MWorks,https://www.tongyuan.cc/,Modelica environment from Suzhou Tongyuan,commercial,win32 win64,available,available,available,available,available,available,available,available
NI LabVIEW,NI_LabVIEW,https://www.ni.com/labview/,"Graphical programming environment for measurement, test, and control systems from National Instruments",commercial,win64,,,,,,,planned,
OMSimulator,OMSimulator,https://github.com/OpenModelica/OMSimulator,"The OMSimulator project is a FMI-based co-simulation environment that supports ordinary (i.e., non-delayed) and TLM connections",osi,darwin64 linux32 linux64 win32 win64,,,,,,available,,available
Open Simulation Platform,OSP,https://open-simulation-platform.github.io/,"Tools, libraries and interfaces for co-simulation of multiphysical and cyberphysical systems",osi,linux64 win64,,,,,available,available,,
OpenModelica,OpenModelica,https://openmodelica.org,Open source Modelica environment from OSMC,osi,darwin64 linux32 linux64 win32 win64,,available,available,available,,planned,available,available
OPTIMICA Compiler Toolkit,OPTIMICA_Studio,https://www.modelon.com/products-services/modelon-creator-suite/optimica-compiler-toolkit/,"Modelica-based mathematical engine that offers solution for the automation, simulation and optimization of system behaviors throughout the model-based design cycle",commercial,win32 win64,available,available,available,available,available,available,available,available
optiSLang,optiSLang,https://www.dynardo.de/en/software/optislang.html,optiSLang supports the export of Metamodels of optimal Prognosis (MOP) as FMU,commercial,win64,,,available,planned,,,planned,planned
Overture,Overture,https://overturetool.org/,Modelling tool for the Vienna Development Method with supports for export of tool wrapper and source code FMUs,commercial,darwin64 linux32 linux64 win32 win64,available,,,,,,,
pandapower-fmu,pandapower-fmu,https://framagit.org/Adrien.Gougeon/pandapower-fmu,open source tool for power system modeling,osi,linux64,,available,,,,,,
PLECS,PLECS,https://www.plexim.com,Simulation platform for power electronic systems,commercial,darwin64 win64 linux64,,,,,,,,available
PragmaDev Studio,PragmaDev_Studio,http://www.pragmadev.com/,Modeling and testing tools for communicating systems,commercial,darwin64 linux64 win32,,,,,,available,,available
PROOSIS,PROOSIS,https://www.ecosimpro.com/products/proosis/,"PROOSIS, Propulsion Object-Oriented Simulation Software",commercial,win32 win64,,available,,planned,,available,,planned
pSeven,pSeven,https://www.datadvance.net/product/pseven/,"pSeven is a software platform that provides advanced tools for Design Optimization and Predictive Modeling, packaged in an easy-to-use graphical user interface.",commercial,linux64 win64,available,planned,available,planned,available,available,available,available
Ptolemy II,Ptolemy,https://ptolemy.eecs.berkeley.edu/index.htm,Software environment for design and analysis of heterogeneous systems,commercial,win64,,,,,planned,,,
PyFMI,PyFMI,https://pypi.python.org/pypi/PyFMI/,For Python via the open source package PyFMI from Modelon. Also available as part of the JModelica.org platform.,osi,linux32 linux64 win32 win64,,,,,available,available,available,available
PySimulator,PySimulator,https://github.com/PySimulator/PySimulator/,Simulation and Analysis Environment in Python with Plugin Infrastructure,osi,linux32 linux64 win32 win64,,,,,,,available,available
PythonFMU,PythonFMU,https://github.com/NTNU-IHB/PythonFMU/,A Python tool coupling solution that allows Python code to be exported as co-simulation FMUs,osi,linux64 win64,,available,,,,,,
RecurDyn,RecurDyn,https://eng.functionbay.co.kr,High End Multi Flexible Body Dynamics Software from FunctionBay,commercial,win64,available,available,planned,planned,available,available,planned,planned
Romax Nexus,RomaxFMUExport,https://www.romaxtech.com/software/,"Romax Nexus, from Romax Technology, is a suite of CAE tools for the design, simulation and optimisation of transmissions and electromechanical power trains for durability, NVH and efficiency",commercial,linux32 linux64 win64 win32,,planned,,,,,,
RTMaps,RTMaps,https://intempora.com/products/rtmaps/,Component-based software development and execution environment which enables users to time-stamp record synchronize and play back data from various sensors and vehicle buses,commercial,linux32 linux64 win32 win64,,,,,,available,,
SaberRD,SaberRD,https://www.synopsys.com/saber,"SaberRD is an intuitive, integrated environment for designing and analyzing power electronic systems and multi-domain physical systems",commercial,linux32 linux64 win32 win64,,available,,,,,,available
SCANeR Studio,SCANeR_Studio,https://www.avsimulation.fr,"SCANeR studio is a comprehensive software suite dedicated to automotive and transport simulation addressing both testing and driving for ADAS, Autonomous vehicle, HMI and headlight use cases",commercial,linux64 win64,,,,,,available,,
scFLOW,scFLOW,https://www.cradle-cfd.com/,scFLOW is a thermo-fuild analysis system with polyhedral mesh,commercial,win64,,available,,,,,,
Scilab/Xcos FMU wrapper,ScilabXcos,https://scilab.io/products/atoms/fmi-model-exchange-co-simulation/,FMI support for Scilab / Xcos a free and open source software for numerical computation,commercial,win64,available,planned,available,planned,available,planned,available,planned
scSTREAM,scSTREAM,https://www.cradle-cfd.com/,scSTREAM is a thermo-fuild analysis system with structured mesh,commercial,win64,,available,,,,,,
Silver,Silver,https://www.synopsys.com/verification/virtual-prototyping/virtual-ecu/silver.html,Generation of virtual ECUs and virtual integration platform for Software in the Loop from Synopsys,commercial,win32 win64,available,available,available,,available,available,available,available
Simcenter 3D Motion,Simcenter,https://www.plm.automation.siemens.com/global/en/products/simulation-test/motion-simulation.html,"Simcenter software combines system simulation, 3D CAE, and performance testing; Motion provides an accurate and robust 3D multi-body simulation model.",commercial,win64 linux64,,available,,,available,available,available,available
Simcenter Amesim,AMESim,https://www.plm.automation.siemens.com/global/en/products/simcenter/simcenter-amesim.html,Integrated simulation platform for the analysis of multi-domain mechatronics systems by Siemens Digital Industries Software,commercial,c-code linux64 win32 win64,available,available,available,available,available,available,available,available
Simcenter FLOEFD,FLOEFD,https://www.plm.automation.siemens.com/global/en/products/simcenter/floefd.html,Simcenter FLOEFD is a CAD-embedded computational fluid dynamics solution,commercial,win64,,available,,,,available,,
Simcenter Flomaster,Flowmaster,https://www.plm.automation.siemens.com/global/en/products/simcenter/flomaster.html, High capability 1D CFD tool for thermo-fluid simulation from Mentor Graphics,commercial,win64,,available,available,available,,planned,,available
Simcenter STAR-CCM+,STAR-CCM+,https://www.plm.automation.siemens.com/global/en/products/simcenter/STAR-CCM.html,"Simcenter STAR-CCM+ is the CFD-focused multiphysics engineering solution that uniquely integrates comprehensive physics with intelligent design exploration in a single CAD-to-solution environment.",commercial,linux64 win64,,,,planned,available,available,,
SimGrid-FMI,SimGrid-FMI,https://framagit.org/simgrid/simgrid-FMI,"SimGrid plugin to co-simulate distributed IT infrastructures and continuous multi-physical systems",osi,linux32 linux64,,,,,,available,,
SIMIT Simulation Platform,Simit,https://new.siemens.com/global/en/products/automation/industry-software/simit.html,"Simulation platform for virtual commissioning (SiL, HiL) and operator training of manufacturing and process plants",commercial,win32,,,,,,available,,
